Caso,nt,nw,Tiempo_Sin_Poda,Tiempo_Con_Poda,Diferencia_Absoluta,Diferencia_Porcentual,Ratio,Resultado
1,6,8,2.54588,0.033759,2.51212,98.674,75.4132,ConPoda mejor
2,7,8,17.3345,0.033014,17.3015,99.8095,525.065,ConPoda mejor
3,7,10,34.108,0.02126,34.0867,99.9377,1604.33,ConPoda mejor
4,7,4,0.003597,0.005461,-0.001864,-51.821,0.658671,ConPoda peor
5,7,4,0.071077,0.002638,0.068439,96.2885,26.9435,ConPoda mejor
6,8,10,266.421,0.090627,266.33,99.966,2939.75,ConPoda mejor
7,6,5,0.063643,0.002354,0.061289,96.3012,27.0361,ConPoda mejor
8,6,4,0.009937,0.002702,0.007235,72.8087,3.67765,ConPoda mejor
9,8,10,366.349,0.038039,366.311,99.9896,9630.88,ConPoda mejor
10,7,4,0.025061,0.004279,0.020782,82.9257,5.85674,ConPoda mejor
11,8,5,3.7547,0.007782,3.74692,99.7927,482.485,ConPoda mejor
12,7,10,50.5368,0.032433,50.5044,99.9358,1558.19,ConPoda mejor
13,7,7,5.84318,0.013091,5.83009,99.776,446.351,ConPoda mejor
14,8,11,544.181,0.111612,544.069,99.9795,4875.65,ConPoda mejor
15,8,4,0.073443,0.002105,0.071338,97.1338,34.8898,ConPoda mejor
16,6,3,0.004525,0.001817,0.002708,59.8453,2.49037,ConPoda mejor
17,6,9,3.36549,0.011925,3.35357,99.6457,282.222,ConPoda mejor
18,6,3,0.002345,0.001488,0.000857,36.5458,1.57594,ConPoda mejor
19,8,10,494.788,0.036062,494.752,99.9927,13720.5,ConPoda mejor
20,8,5,2.93174,0.007612,2.92413,99.7404,385.148,ConPoda mejor
21,7,5,0.326843,0.004711,0.322132,98.5586,69.3787,ConPoda mejor
22,6,4,0.021117,0.002198,0.018919,89.5913,9.60737,ConPoda mejor
23,8,11,635.398,0.04211,635.356,99.9934,15089,ConPoda mejor
24,7,9,29.8043,0.015525,29.7888,99.9479,1919.76,ConPoda mejor
25,7,6,0.495399,0.007199,0.4882,98.5468,68.815,ConPoda mejor
26,7,7,3.69841,0.016611,3.6818,99.5509,222.648,ConPoda mejor
27,7,6,2.22792,0.006875,2.22105,99.6914,324.062,ConPoda mejor
28,6,3,0.00532,0.000994,0.004326,81.3158,5.35211,ConPoda mejor
29,8,11,910.934,0.036032,910.898,99.996,25281.3,ConPoda mejor
30,7,10,68.4201,0.020244,68.3998,99.9704,3379.77,ConPoda mejor
31,7,5,0.503015,0.00404,0.498975,99.1968,124.509,ConPoda mejor
32,7,6,1.32861,0.012345,1.31627,99.0708,107.623,ConPoda mejor
33,6,8,1.06491,0.015627,1.04928,98.5326,68.1455,ConPoda mejor
34,7,10,56.6373,0.015332,56.622,99.9729,3694.06,ConPoda mejor
35,6,7,0.611518,0.005223,0.606295,99.1459,117.082,ConPoda mejor
36,8,5,0.320743,0.009063,0.31168,97.1744,35.3904,ConPoda mejor
37,7,4,0.005663,0.002177,0.003486,61.5575,2.60129,ConPoda mejor
38,8,7,19.6004,0.014424,19.5859,99.9264,1358.87,ConPoda mejor
39,6,4,0.047242,0.002841,0.044401,93.9863,16.6287,ConPoda mejor
40,8,7,11.7269,0.024617,11.7023,99.7901,476.373,ConPoda mejor
41,8,10,615.465,0.023448,615.442,99.9962,26248.1,ConPoda mejor
42,7,5,0.301861,0.005692,0.296169,98.1144,53.0325,ConPoda mejor
43,6,7,0.710966,0.009802,0.701164,98.6213,72.5327,ConPoda mejor
44,6,4,0.013257,0.002139,0.011118,83.8651,6.19776,ConPoda mejor
45,6,3,0.010899,0.002451,0.008448,77.5117,4.44676,ConPoda mejor
46,8,7,6.28212,0.020714,6.2614,99.6703,303.279,ConPoda mejor
47,7,6,1.5489,0.003241,1.54566,99.7908,477.908,ConPoda mejor
48,6,9,2.65336,0.009247,2.64412,99.6515,286.943,ConPoda mejor
49,8,4,0.354517,0.004735,0.349782,98.6644,74.8716,ConPoda mejor
50,8,5,0.905297,0.012884,0.892413,98.5768,70.2652,ConPoda mejor
